2024-03-24 00:27:04,597 INFO    StreamThr :21780 [internal.py:wandb_internal():86] W&B internal server running at pid: 21780, started at: 2024-03-24 00:27:04.596117
2024-03-24 00:27:04,599 DEBUG   HandlerThread:21780 [handler.py:handle_request():146] handle_request: status
2024-03-24 00:27:04,603 INFO    WriterThread:21780 [datastore.py:open_for_write():85] open: F:\Other\Fracture_Work\yolov9\wandb\run-20240324_002704-jzxc4f5s\run-jzxc4f5s.wandb
2024-03-24 00:27:04,604 DEBUG   SenderThread:21780 [sender.py:send():380] send: header
2024-03-24 00:27:04,654 DEBUG   SenderThread:21780 [sender.py:send():380] send: run
2024-03-24 00:27:04,669 INFO    SenderThread:21780 [sender.py:_maybe_setup_resume():759] checking resume status for None/train/jzxc4f5s
2024-03-24 00:27:05,665 INFO    SenderThread:21780 [dir_watcher.py:__init__():211] watching files in: F:\Other\Fracture_Work\yolov9\wandb\run-20240324_002704-jzxc4f5s\files
2024-03-24 00:27:05,666 INFO    SenderThread:21780 [sender.py:_start_run_threads():1124] run started: jzxc4f5s with start time 1711222024.599638
2024-03-24 00:27:05,689 DEBUG   HandlerThread:21780 [handler.py:handle_request():146] handle_request: check_version
2024-03-24 00:27:05,689 DEBUG   SenderThread:21780 [sender.py:send_request():407] send_request: check_version
2024-03-24 00:27:05,901 DEBUG   HandlerThread:21780 [handler.py:handle_request():146] handle_request: run_start
2024-03-24 00:27:05,944 DEBUG   HandlerThread:21780 [system_info.py:__init__():32] System info init
2024-03-24 00:27:05,945 DEBUG   HandlerThread:21780 [system_info.py:__init__():47] System info init done
2024-03-24 00:27:05,945 INFO    HandlerThread:21780 [system_monitor.py:start():194] Starting system monitor
2024-03-24 00:27:05,945 INFO    SystemMonitor:21780 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-24 00:27:05,946 INFO    HandlerThread:21780 [system_monitor.py:probe():214] Collecting system info
2024-03-24 00:27:05,951 INFO    SystemMonitor:21780 [interfaces.py:start():190] Started cpu monitoring
2024-03-24 00:27:05,952 INFO    SystemMonitor:21780 [interfaces.py:start():190] Started disk monitoring
2024-03-24 00:27:05,954 INFO    SystemMonitor:21780 [interfaces.py:start():190] Started gpu monitoring
